Index,Name,Year,Nudity,Violence,Language,Genre,Budget,Plot Sentiment,IMDB Rating
372,Ouija,2014,1,5,3,10 11 8,5000000,-0.996,4.5
373,The Prophet,2014,3,3,1,12 4,12000000,0.1134,7.1
374,Robocop,2014,2,6,5,1 3 5,13000000,-0.998,7.5
375,Rosewater,2014,3,5,5,14 4,5000000,-0.9337,6.6
376,The Rover,2014,4,7,8,1 3 4,12000000,-0.999,6.4
377,Sabotage,2014,7,9,10,1 3 4,35000000,-0.9987,5.7
378,The Signal,2014,1,6,5,4 11 5,4000000,-0.9904,6.1
379,The Single Moms Club,2014,5,3,4,2 4,8000000,0.6124,5.3
380,Snowpiercer,2014,3,7,8,1 4 5,39200000,-0.9971,7.1
381,Son of God,2014,3,6,2,14 4 14,22000000,-0.9927,5.7
382,St. Vincent,2014,6,4,5,2 4,13000000,0.9834,7.2
383,Tammy,2014,2,4,8,2 13,20000000,-0.9839,4.9
384,Third Person,2014,7,5,6,4 13,28000000,0.4939,6.3
385,This Is Where I Leave You,2014,5,4,7,2 4,19800000,-0.0433,6.6
386,3 Days to Kill,2014,6,7,5,1 4 8,28000000,-0.9936,6.2
387,Top Five,2014,6,3,10,2 13,12000000,0.8561,6.4
388,Transcendence,2014,4,6,2,1 4 5,100000000,-0.9876,6.3
389,Tusk,2014,4,7,10,2 4 10,3000000,-0.9513,5.3
390,22 Jump Street,2014,3,5,10,1 2 3,50000000,-0.8138,7
391,Unbroken,2014,1,6,5,14 4 15,65000000,-0.998,7.2
392,Under the Skin,2014,6,6,5,4 10 5,13300000,-0.9948,6.3
393,Vampire Academy,2014,5,6,4,1 2 4,30000000,-0.9872,5.5
394,Wild,2014,7,4,8,14 4,15000000,-0.9513,7.1
395,Wish I Was Here,2014,6,4,8,2 4,6000000,0.5859,6.7
396,After Earth,2013,1,6,1,1 6 5,130000000,-0.9994,4.8
397,As I Lay Dying,2013,6,5,3,4,5000000,-0.5859,5.4
398,Before Midnight,2013,7,2,8,4 13,3000000,0.855,7.9
399,The Best Man Holiday,2013,6,4,6,2 4,17000000,0.9819,6.7
400,Blue Jasmine,2013,5,4,5,4,18000000,-0.9858,7.3
401,Broken City,2013,7,6,10,1 3 4,35000000,-0.995,6.2
402,The Call,2013,6,7,5,3 4 10,13000000,-0.9972,6.7
403,The Canyons,2013,9,5,10,4 8,250000,-0.9991,3.8
404,Closed Circuit,2013,3,5,6,3 4 11,15000000,-0.9921,6.2
405,Dallas Buyers Club,2013,8,5,10,14 4,5000000,-0.9972,8
406,Delivery Man,2013,4,4,5,2 4,26000000,-0.9161,6.4
407,Disconnect,2013,7,5,10,4 8,10000000,-0.9948,7.5
408,Don Jon,2013,8,3,10,2 4 13,3000000,0.9804,6.5
409,The East,2013,6,6,4,6 4 8,6500000,0.4404,6.8
410,Elysium,2013,2,8,10,1 4 5,115000000,-0.9979,6.6
411,Ender's Game,2013,1,6,3,1 6 9,110000000,-0.9982,6.6
412,The Family,2013,6,7,8,10 8,200000,-0.9957,6.3
413,47 Ronin,2013,3,6,1,1 4 9,175000000,-0.9989,6.3
414,Gangster Squad,2013,5,9,7,1 3 4,60000000,-0.8739,6.7
415,Geography Club,2013,6,3,5,2 4,6400000,0.8545,6.5
416,Gravity,2013,1,5,5,4 5 8,100000000,-0.8174,7.7
417,Homefront,2013,6,7,10,1 3 8,22000000,-0.997,6.5
418,The Host,2013,4,5,3,1 6 4,40000000,-0.6306,5.9
419,The Iceman,2013,7,8,10,14 3 4,10000000,-0.9948,6.8
420,Jobs,2013,3,2,5,14 4,12000000,0.9929,5.9
421,Kick-Ass 2,2013,7,7,9,1 2 3,28000000,-0.9989,6.5
422,The Last Stand,2013,2,8,7,2 4,2000000,-0.9971,6.3
423,Last Vegas,2013,6,4,5,2 4,28000000,0.9979,6.6
424,The Lone Ranger,2013,3,7,3,1 6 2,215000000,-0.9954,6.4
425,Lone Survivor,2013,1,9,10,1 14 4,40000000,-0.9972,7.5
426,Lovelace,2013,9,6,6,14 4,10000000,-0.9275,6.2
427,Machete Kills,2013,5,9,10,1 3 8,20000000,-0.9981,5.6
428,Mama,2013,4,7,5,2 4 16,3000000,-0.9868,6.2
429,Mandela: Long Walk to Freedom,2013,4,7,3,14 4 14,35000000,-0.5106,7.1
430,Monsters University,2013,1,3,1,12 6 2,200000000,-0.9868,7.3
431,Mud,2013,3,5,5,4,10000000,-0.9969,7.4
432,Nebraska,2013,3,4,5,6 2 4,12000000,-0.9948,7.7
433,Oblivion,2013,4,6,5,1 6 5,120000000,-0.9973,7
434,Oldboy,2013,8,9,8,1 4 11,3000000,-0.999,5.7
435,Parker,2013,2,8,3,1 3 8,35000000,-0.9995,6.2
436,Parkland,2013,2,6,10,4 14 11,10000000,-0.5859,6.4
437,Peeples,2013,1,3,6,2 13,15000000,-0.0544,5.3
438,Philomena,2013,3,3,5,14 2 4,12000000,-0.9946,7.6
439,Planes,2013,1,3,2,12 6 2,50000000,-0.9948,5.7
440,Prince Avalanche,2013,5,3,4,2 4,725000,0.5395,6.3
441,Prisoners,2013,1,7,9,3 4 11,46000000,-0.9975,8.1
442,Quartet,2013,4,3,5,2 4,11000000,-0.9948,6.8
443,Red 2,2013,3,6,4,1 6 2,84000000,-0.9876,6.6
444,Riddick,2013,6,7,10,1 6 5,38000000,-0.9988,6.4
445,Runner Runner,2013,6,5,10,3 8,30000000,-0.9988,5.6
446,Rush,2013,8,7,6,1 14 4,38000000,0.9897,8.1
447,The Sapphires,2013,8,5,4,14 2 4,10000000,0.85,7
448,Saving Lincoln,2013,1,5,4,14 4 14,700000,-0.9721,5.4
449,Saving Mr. Banks,2013,1,4,2,14 2 4,35000000,-0.9486,7.5
450,Scary Movie 5,2013,2,7,5,2 10,20000000,-0.9946,3.5
451,Side Effects,2013,0,6,6,2 4 13,30000000,-0.9986,7.1
452,Snitch,2013,2,6,4,3 4 8,11000000,-0.155,6.4
453,The Spectacular Now,2013,5,4,7,2 4 13,2500000,-0.8912,7.1
454,Stoker,2013,4,7,5,4 11 8,12000000,-0.9968,6.8
455,Thor: The Dark World,2013,2,6,3,1 6 9,170000000,-0.9959,6.9
456,Turbo,2013,1,4,1,12 6 2,135000000,0.9998,6.4
457,Upside Down,2013,5,4,3,4 9 13,60000000,-0.9948,6.4
458,Warm Bodies,2013,2,7,5,2 10 13,35000000,-0.9371,6.9
459,The Wolf of Wall Street,2013,10,4,10,14 3 4,100000000,-0.9886,8.2
460,World War Z,2013,1,7,4,1 6 10,190000000,-0.9948,7
461,Yossi,2013,8,2,4,4 13,500000,-0.9948,7
462,You're Next,2013,6,8,7,10 11 8,1000000,-0.9993,6.6
463,Act of Valor,2012,2,8,6,1 6 8,12000000,-0.9984,6.5
464,The Amazing Spider-Man,2012,3,6,4,1 6 5,230000000,-0.9865,6.9
465,Amour,2012,4,5,5,4 13,8900000,-0.9679,7.9
466,Anna Karenina,2012,6,6,3,4 13,40600000,-0.9948,6.6
467,Apparition,2012,4,7,4,9 10 8,3000000,-0.9853,4
468,Argo,2012,3,6,7,14 4 8,44500000,0.4678,7.7
469,The Avengers,2012,2,7,3,1 6 5,220000000,-0.99,8
470,Battleship,2012,3,6,5,1 6 5,209000000,-0.9976,5.8
471,Bernie,2012,3,5,5,14 2 3,5000000,-0.9948,6.8
472,Blue Like Jazz,2012,4,3,4,2 4,1200000,-0.9948,5.9
473,The Bourne Legacy,2012,2,7,5,1 6 8,125000000,-0.9967,6.7
474,Casa de Mi Padre,2012,6,8,6,2 18,6000000,-0.9709,5.5
475,Chronicle,2012,4,7,4,4 5 8,12000000,-0.9989,7
476,Cloud Atlas,2012,8,8,7,1 4 11,102000000,0.9976,7.4
477,Compliance,2012,7,3,6,3 4 8,270000,-0.9903,6.4
478,Contraband,2012,3,7,10,1 3 4,25000000,-0.9981,6.5
479,Cosmopolis,2012,7,7,5,3 4 9,20500000,-0.9815,5.1
480,Dark Shadows,2012,4,6,4,2 9 10,150000000,0.0516,6.2
481,Dark Tide,2012,3,7,5,1 6 4,25000000,-0.9657,4.3
482,The Divide,2012,9,10,10,4 10 5,3000000,-0.9984,5.8
483,Django Unchained,2012,6,9,7,4 18,100000000,-0.9982,8.4
484,Flight,2012,7,6,10,4 8,31000000,-0.9138,7.3
485,Frankenweenie,2012,1,4,2,12 2 7,39000000,0.9997,6.9
486,Friends with Kids,2012,7,2,8,2 4 13,10000000,0.9866,6.1
487,Fun Size,2012,4,4,4,6 2,14000000,0.9865,5.4
488,Girl In Progress,2012,5,3,3,2 4,5000000,0.9955,5.6
489,The Grey,2012,2,7,10,1 6 4,25000000,-0.9991,6.8
490,Hit and Run,2012,8,6,10,1 2,2000000,-0.988,6.1
491,Hitchcock,2012,4,5,3,14 4 13,15700000,0.7516,6.8
492,Hotel Transylvania,2012,2,4,2,12 2 7,85000000,0.9976,7.1
493,John Carter,2012,2,6,4,1 6 5,250000000,-0.9965,6.6
494,Lawless,2012,7,8,7,3 4,26000000,-0.9981,7.3
495,Liberal Arts,2012,5,3,4,2 4 13,2000000,0.9901,6.7
496,Lincoln,2012,1,6,5,14 4 14,65000000,-0.368,7.3
497,Lockout,2012,2,6,5,1 5 8,20000000,-0.9994,6.1
498,Looper,2012,7,8,7,1 4 5,30000000,-0.9977,7.4
499,Loosies,2012,6,5,5,2 3 13,3900000,0.765,6.2
500,Lore,2012,6,7,4,4 13 17,5289000,-0.9979,7.1
501,Magic Mike,2012,8,4,10,2 4,7000000,0.9847,6.1
502,The Master,2012,8,5,9,4,32000000,-0.9989,7.2
503,Men In Black 3,2012,3,5,4,1 6 2,225000000,-0.9938,6.8
504,Not Fade Away,2012,6,3,8,4,20000000,0.9937,6
505,One for the Money,2012,5,5,4,1 2 3,40000000,-0.9968,5.3
506,On the Road,2012,9,3,6,6 4 13,25000000,0.9496,6.1
507,The Paperboy,2012,4,7,5,3 4 11,12500000,-0.9981,5.8
508,Paranormal Activity 4,2012,3,6,6,10 11 8,5000000,-0.9909,4.6
509,ParaNorman,2012,5,5,10,12 6 2,60000000,-0.9968,7
510,Parental Guidance,2012,2,3,7,2 7,25000000,-0.7845,6
511,Piranha 3DD,2012,8,10,7,2 10,5000000,-0.9946,3.7
512,Playback,2012,7,8,8,10 8,1600000,-0.9918,4.2
513,The Possession,2012,3,7,3,10 11 8,14000000,-0.9971,5.9
514,Prometheus,2012,3,8,5,6 11 5,130000000,-0.998,7
515,Promised Land,2012,1,3,7,4,15000000,0.9898,6.6
516,Pusher,2012,7,7,10,3 8,3128000,-0.9912,7.4
517,The Raven,2012,2,8,5,3 11 8,26000000,-0.9981,6.4
518,Red Tails,2012,2,5,4,1 4 14,58000000,-0.7215,5.9
519,Resident Evil: Retribution,2012,2,8,3,1 10 5,65000000,-0.9855,5.4
520,Rock of Ages,2012,8,3,4,2 4 16,75000000,0.9838,5.9
521,Ruby Sparks,2012,5,3,7,2 4 9,8000000,0.8546,7.2
522,Safe,2012,0,8,6,1 3 8,30000000,-0.9956,6.5
523,Safety Not Guaranteed,2012,2,4,5,2 4 13,750000,-0.7334,7
524,Sinister,2012,2,8,4,10 11 8,3000000,-0.9948,6.8
525,Skyfall,2012,3,6,5,1 6 8,200000000,-0.9989,7.7
526,Smashed,2012,5,3,7,4,500000,-0.9784,6.8
527,Sparkle,2012,5,5,5,4 16,1000000,0.9997,5.7
528,Ted,2012,6,5,10,2,50000000,-0.4612,6.9
529,Think Like a Man,2012,6,2,5,2 13,12000000,0.6124,6.6
530,This Must Be the Place,2012,0,5,8,2 4,30750000,-0.9882,6.7
531,To Rome With Love,2012,4,3,5,2 16 13,20910000,0.9957,6.3
532,Touchback,2012,3,4,4,4 7 9,5000000,0.9908,6.5
533,21 Jump Street,2012,5,7,10,1 2 3,42000000,0.7908,7.2
534,The Wicker Tree,2012,7,6,4,4 10,7750000,-0.9792,3.8
535,The Woman in Black,2012,0,6,3,4 9 10,17000000,-0.9977,6.4
536,The Words,2012,4,4,5,4 11 13,6000000,0.9136,7
537,Your Sister's Sister,2012,6,2,10,2 4 13,125000,0.6008,6.7
538,Zero Dark Thirty,2012,4,7,9,4 14 8,40000000,-0.9883,7.4
539,Abduction,2011,4,5,5,1 10 5,6000000,-0.9958,5.1
540,Albert Nobbs,2011,6,3,5,4 13,8000000,-0.9943,6.7
541,Anonymous,2011,7,6,4,4 8,30000000,-0.9427,6.9
542,Another Earth,2011,5,6,1,4 13 5,100000,0.8248,7
543,Apollo 18,2011,1,5,5,10 11 5,5000000,-0.9886,5.2
544,The Artist,2011,2,3,3,2 4 13,15000000,-0.5056,7.9
545,Atlas Shrugged: Part I,2011,7,2,4,4 11 5,20000000,0.987,5.6
546,Beastly,2011,3,5,4,4 9 13,17000000,0.8294,5.6
547,Beginners,2011,7,3,6,2 4 13,3200000,0.9992,7.2
548,Bucky Larson: Born to Be a Star,2011,9,2,9,2,10000000,0.85,3.2
549,Carnage,2011,1,4,6,2 4,25000000,-0.9818,7.2
550,Cars 2,2011,2,4,1,12 6 2,200000000,-0.1732,6.1
551,Colombiana,2011,5,7,5,1 4 8,40000000,-0.9972,6.4
552,Conan the Barbarian,2011,8,9,2,1 6 9,90000000,-0.9993,6.9
553,The Conspirator,2011,1,7,4,3 4 14,25000000,-0.9975,6.9
554,Contagion,2011,1,5,5,1 4 8,60000000,-0.9965,6.7
555,Country Strong,2011,6,4,4,4 16,15000000,-0.7999,6.3
556,The Double,2011,1,6,4,1 4 8,13500000,-0.9896,6.5
557,Dream House,2011,2,6,5,4 11 8,50000000,-0.9977,6
558,Drive,2011,5,8,8,3 4,15000000,-0.9984,7.8
559,The Eagle,2011,2,8,4,1 6 4,25000000,-0.9032,6.2
560,Everything Must Go,2011,6,3,5,4,5000000,-0.9948,6.4
561,Final Destination 5,2011,4,10,5,10 8,40000000,-0.9929,5.8
562,Footloose,2011,5,5,4,4 16 13,8200000,0.5689,6.6
563,The Grace Card,2011,1,5,2,4,200000,0.9735,6.4
564,Hanna,2011,4,8,5,1 4 8,30000000,-0.9967,6.8
565,The Help,2011,3,4,4,4,25000000,-0.9948,8
566,Higher Ground,2011,7,5,5,4,2000000,-0.1166,6.2
567,Hobo with a Shotgun,2011,5,10,10,1 2 10,3000000,-0.9991,6.1
568,Hoodwinked Too! Hood vs. Evil,2011,1,4,3,12 2 3,30000000,-0.9548,4.7
569,Hop,2011,1,4,1,12 6 2,63000000,-0.9958,5.4
570,Immortals,2011,6,10,2,1 4 9,75000000,-0.9991,6
571,Insidious,2011,2,7,5,10 11 8,1500000,-0.997,6.8
572,In Time,2011,6,6,5,1 5 8,40000000,-0.997,6.7
573,The Iron Lady,2011,5,5,3,14 4,13000000,-0.9824,6.4
574,J. Edgar,2011,3,4,5,14 4 13,35000000,-0.9859,6.5
575,Judy Moody and the Not Bummer Summer,2011,1,3,3,2 7,20000000,0.2076,4.3
576,Killer Elite,2011,7,8,10,1 8,70000000,-0.9965,6.4
577,Kung Fu Panda 2,2011,1,4,1,12 1 6,150000000,-0.9996,7.2
578,Like Crazy,2011,7,1,5,4 13,250000,-0.9547,6.7
579,Limitless,2011,6,7,5,5 8,27000000,-0.5859,7.4
580,The Lincoln Lawyer,2011,6,7,5,3 4 8,40000000,-0.9989,7.3
581,Machine Gun Preacher,2011,6,8,8,1 14 3,30000000,-0.991,6.8
582,Margaret,2011,8,6,7,4,14000000,-0.994,6.4
583,Margin Call,2011,3,2,10,4 8,3500000,-0.9966,7.1
584,Meek's Cutoff,2011,2,3,3,4 18,2000000,-0.9948,6.5
585,Melancholia,2011,7,4,5,4 5,7400000,-0.998,7.2
586,Midnight in Paris,2011,4,2,4,2 9 13,17000000,0.9988,7.7
587,The Mighty Macs,2011,3,1,1,4 15,7000000,0.4939,6.5
588,Monte Carlo,2011,2,2,3,6 2 7,20000000,0.9722,5.8
589,One Day,2011,7,4,5,4 13,15000000,0.9969,7
590,Paranormal Activity 3,2011,2,6,5,10 11 8,5000000,-0.9971,5.8
591,Pariah,2011,2,4,1,4,450000,-0.8887,7.2
592,Paul,2011,1,5,10,6 2 5,40000000,-0.995,7
593,Point Blank,2011,4,8,5,1 3 4,16000000,-0.9948,7.3
594,Priest,2011,2,8,5,1 10 8,60000000,-0.9988,5.7
595,Rampart,2011,8,6,10,3 4,12000000,-0.9948,5.8
596,Rango,2011,3,4,3,12 6 2,135000000,-0.9867,7.2
597,Real Steel,2011,3,5,4,1 4 5,110000000,-0.589,7.1
598,Rio,2011,2,3,1,12 6 2,90000000,0.9995,6.9
599,Sanctum,2011,1,7,8,1 6 4,30000000,-0.9993,5.9
600,Scream 4,2011,4,10,8,10 11,40000000,-0.9989,6.1
601,Seven Days in Utopia,2011,1,2,1,4 15,7500000,-0.9948,6
602,Shame,2011,4,5,10,4,6500000,-0.9859,7.2
603,Silent House,2011,4,6,5,4 10 11,2000000,-0.9987,5.2
604,Sleeping Beauty,2011,5,4,6,4 13 8,2280000,-0.9249,7.2
605,Soul Surfer,2011,4,5,1,14 4 7,18000000,0.9953,7
606,Source Code,2011,7,5,5,1 4 11,32000000,-0.9837,7.5
607,Straw Dogs,2011,2,8,10,1 4 8,25000000,-0.9995,7.5
608,Sucker Punch,2011,3,7,4,1 6 9,82000000,0.8511,6
609,Super 8,2011,8,6,5,1 6 5,50000000,-0.9853,7
610,Take Me Home Tonight,2011,6,4,10,2 4 13,23000000,0.9951,6.3
611,Take Shelter,2011,5,6,5,4 10 8,5000000,-0.8381,7.4
612,30 Minutes or Less,2011,2,7,10,1 2 3,28000000,-0.9724,6.1
613,Thor,2011,1,7,3,1 6 9,150000000,-0.9972,7
614,The Tree of Life,2011,2,4,1,4 9,32000000,-0.991,6.8
615,Trust,2011,8,6,7,3 4 8,4000000,-0.9899,6.9
616,War Horse,2011,1,8,2,1 6 4,66000000,0.2732,7.2
617,Warrior,2011,3,7,5,1 4 15,25000000,-0.9848,8.2
618,The Way Back,2011,3,6,5,6 4 14,30000000,-0.9859,7.3
619,Young Adult,2011,5,3,6,2 4,12000000,-0.8793,6.2
620,The Zookeeper,2011,4,4,3,4 17,6000000,0.9948,6.8
621,Alice in Wonderland,2010,2,5,1,6 7 9,200000000,-0.9938,6.4
622,The American,2010,9,7,5,3 4 8,20000000,-0.9972,6.3
623,Animal Kingdom,2010,4,7,10,3 4,3800000,-0.9549,7.3
624,Another Year,2010,3,2,5,2 4,8000000,0.7031,7.3
625,Blue Valentine,2010,8,4,8,4 13,1000000,-0.9937,7.4
626,Brooklyn's Finest,2010,9,9,10,1 3 4,17000000,-0.999,6.7
627,Burlesque,2010,6,2,5,4 16 16,55000000,-0.4467,6.4
628,Case 39,2010,2,8,5,10 11 8,26000000,-0.9963,6.2
629,The Company Men,2010,6,2,6,4,15000000,-0.9872,6.7
630,Conviction,2010,5,7,10,14 3 4,12500000,-0.9981,7.2
631,Dear John,2010,6,4,4,4 13 17,25000000,0.9828,6.3
632,Devil,2010,3,8,4,10 11 8,10000000,-0.9997,6.2
633,Fair Game,2010,3,4,5,1 8,957600,0.8873,6.8
634,Faster,2010,4,8,5,1 3 4,24000000,-0.9988,6.4
635,The Fighter,2010,6,7,10,14 4 15,25000000,-0.9949,7.8
636,From Paris with Love,2010,6,8,10,1 3 8,52000000,-0.9955,6.5
637,Get Low,2010,2,4,4,4 11,7000000,-0.6858,7
638,Green Zone,2010,1,7,8,1 4 8,100000000,-0.9976,6.8
639,Hereafter,2010,3,5,5,4 9 13,50000000,0.5983,6.4
640,Inception,2010,1,7,4,1 6 5,160000000,0.765,8.8
641,Iron Man 2,2010,4,6,5,1 6 5,200000000,-0.9975,7
642,Kick-Ass,2010,7,9,10,1 2 3,30000000,-0.9957,7.6
643,Killers,2010,6,6,5,1 2 13,75000000,-0.9502,5.5
644,The Last Song,2010,3,3,3,4 16 13,20000000,0.9825,6
645,Letters to Juliet,2010,3,1,2,6 2 4,30000000,0.9194,6.5
646,The Losers,2010,6,7,5,1 6 3,25000000,-0.9991,6.3
647,Lottery Ticket,2010,6,5,5,2,17000000,0.9848,5
648,MacGruber,2010,8,9,8,1 2,10000000,-0.9919,5.5
649,Machete,2010,8,10,8,1 3 8,10500000,-0.9985,6.6
650,Megamind,2010,2,4,3,12 1 2,130000000,-0.9993,7.2
651,The Next Three Days,2010,3,6,5,1 3 4,30000000,-0.9974,7.4
652,Paranormal Activity 2,2010,5,6,8,10,3000000,-0.9977,5.6
653,Piranha 3D,2010,10,10,8,2 10,24000000,-0.9789,5.4
654,Please Give,2010,7,3,6,2 4,3000000,-0.9948,6.6
655,Predators,2010,2,10,8,1 6 5,40000000,-0.9948,6.4
656,Rabbit Hole,2010,2,4,5,4,5000000,-0.9503,7
657,Ramona and Beezus,2010,2,2,1,2 4 7,15000000,-0.7199,6.5
658,Red,2010,2,7,5,1 2 3,58000000,-0.9933,7
659,Remember Me,2010,7,6,5,4 13,16000000,-0.9882,7.1
660,Repo Men,2010,7,8,8,1 5 8,32000000,-0.9897,6.3
661,Robin Hood,2010,4,7,3,1 6 4,200000000,-0.9835,6.6
662,The Runaways,2010,8,4,10,14 4 16,10000000,-0.5023,6.5
663,Salt,2010,2,7,4,1 11 8,110000000,-0.9973,6.4
664,Scott Pilgrim vs. The World,2010,1,6,6,1 2 9,60000000,-0.9948,7.5
665,Sex and the City 2,2010,9,2,5,2 4 13,100000000,0.9975,4.5
666,Shutter Island,2010,4,9,6,11 8,80000000,-0.9831,8.2
667,Skyline,2010,1,8,5,1 5 8,10000000,-0.989,4.4
668,The Social Network,2010,5,2,5,14 4,40000000,0.9781,7.7
669,Somewhere,2010,3,1,5,2 4,7000000,0.8807,6.3
670,Splice,2010,4,8,6,4 10 5,30000000,-0.9986,5.7
671,Step Up 3D,2010,1,3,5,4 16 13,30000000,0.9772,6.2
672,Stone,2010,7,7,10,4 8,22000000,-0.9754,5.4
673,Takers,2010,2,6,5,1 3 8,32000000,-0.9988,6.2
674,The Tempest,2010,6,4,2,4 9,204000,-0.9948,6.4
675,To Save a Life,2010,1,5,4,4,500000,0.9242,6.9
676,The Tourist,2010,4,5,5,1 6 3,100000000,0.9728,6
677,The Town,2010,7,8,10,3 4 8,37000000,-0.9989,7.5
678,The Virginity Hit,2010,9,3,10,2,2000000,0.9914,4.6
679,The Warrior's Way,2010,5,10,4,1 9 18,42000000,-0.9996,6.3
680,When In Rome,2010,6,3,4,2 3 4,1313000,0.9956,5.6
681,Amelia,2009,4,3,3,6 14 4,40000000,-0.9757,5.8
682,Astro Boy,2009,1,4,1,12 1 2,65000000,-0.9594,6.3
683,Avatar,2009,5,7,4,1 6 9,237000000,-0.972,7.8
684,The Blind Side,2009,4,4,4,14 4 15,29000000,0.9732,7.6
685,The Box,2009,2,6,3,4 9 11,30000000,-0.9978,5.6
686,Bran Nue Dae,2009,4,4,4,2 4 16,4940000,0.9231,6.2
687,Bright Star,2009,3,2,2,14 4 13,8500000,0.9486,6.9
688,Brothers,2009,5,6,7,1 4 8,26000000,-0.9962,7.1
689,The Brothers Bloom,2009,6,6,5,1 6 2,20000000,-0.6307,6.8
690,Br?÷ú?≥Ñno,2009,10,6,7,2,42000000,-0.8834,5.8
691,City Island,2009,6,4,5,2 4,6000000,0.0548,7.4
692,The Collector,2009,6,10,6,1 3 10,6000000,-0.9993,6.4
693,Crank: High Voltage,2009,10,10,10,1 8,20000000,-0.5719,6.2
694,Crazy Heart,2009,6,3,6,4 16 13,7000000,0.9801,7.2
695,Crossing Over,2009,8,7,10,3 4,19000000,-0.9958,6.7
696,Dance Flick,2009,6,6,4,1 2 16,25000000,0.5994,3.5
697,District 9,2009,4,10,10,1 5 8,30000000,-0.9829,7.9
698,Drag Me to Hell,2009,3,8,4,10 8,30000000,-0.9993,6.5
699,Dragonball Evolution,2009,4,4,3,1 6 7,30000000,0.9566,2.5
700,An Education,2009,6,1,4,4,7500000,0.9934,7.3
701,Extract,2009,5,4,5,2 3 13,8000000,-0.9948,6.1
702,Fantastic Mr. Fox,2009,1,4,3,12 6 2,40000000,-0.9819,7.9
703,Fast and Furious,2009,5,6,5,1 3 8,38000000,-0.9942,6.1
704,Funny People,2009,9,4,10,2 4,75000000,0.9782,6.3
705,Gamer,2009,7,9,8,1 5 8,50000000,-0.9916,5.8
706,Halloween II,2009,8,10,10,10,15000000,-0.994,6.5
707,The Hurt Locker,2009,3,8,10,4 8 17,15000000,-0.9972,7.6
708,"I Love You, Man",2009,6,3,10,2 13,40000000,0.9903,7
709,The International,2009,3,8,5,1 3 4,50000000,-0.9978,6.5
710,Jennifer's Body,2009,7,9,7,2 10,16000000,-0.9927,5.2
711,Jonah Hex,2009,4,7,4,1 4 9,47000000,-0.9946,4.7
712,The Joneses,2009,7,4,5,2 4,10000000,-0.9822,6.5
713,Land of the Lost,2009,6,5,5,1 6 2,100000000,0.7672,5.3
714,The Last Station,2009,7,3,4,14 4 13,18000000,-0.9786,7
715,Legion,2009,2,8,7,1 9 10,26000000,-0.9957,5.2
716,Me and Orson Welles,2009,3,3,4,2 4,25000000,-0.7122,6.7
717,The Merry Gentleman,2009,6,5,5,3 4 8,5000000,-0.9948,6.5
718,Moon,2009,5,7,8,4 11 5,5000000,-0.9722,7.9
719,Mother and Child,2009,8,3,5,4 13,7000000,-0.6187,7.2
720,Next Day Air,2009,7,8,10,1 2 3,3000000,-0.9961,5.8
721,9,2009,1,5,0,12 1 6,30000000,-0.9981,7.1
722,Nine,2009,6,3,3,4 16 13,80000000,0.8815,5.8
723,Ninja Assassin,2009,3,10,6,1 8,40000000,-0.9854,6.3
724,Observe and Report,2009,9,7,10,2 3 4,18000000,-0.9866,5.8
725,Paranormal Activity,2009,3,6,5,10 11 8,15000,-0.9906,6.3
726,Planet 51,2009,3,3,2,12 6 2,70000000,0.9965,6
727,Precious,2009,8,8,10,4,10000000,0.9884,7.3
728,Push,2009,4,7,4,1 5 8,38000000,-0.99,6.1
729,The Road,2009,5,8,5,4,25000000,-0.9882,7.2
730,Saw VI,2009,7,10,8,10 11,11000000,-0.9956,6
731,Sherlock Holmes,2009,2,7,2,1 6 11,90000000,-0.9969,7.6
732,Star Trek,2009,2,6,4,1 6 5,150000000,-0.9968,7.9
733,Sunshine Cleaning,2009,8,7,6,2 4,8000000,0.9353,6.8
734,Terminator Salvation,2009,4,7,4,1 6 5,200000000,-0.993,6.5
735,12 Rounds,2009,1,7,5,1 3 8,22000000,-0.961,5.6
736,2012,2009,5,7,5,1 6 5,200000000,0.9432,5.8
737,Two Lovers,2009,3,3,7,4 13,9800000,-0.9948,7
738,Up,2009,3,3,0,12 6 2,175000000,1,8.2
739,Watchmen,2009,9,9,6,1 4 11,130000000,0.9978,7.6
740,Whip It,2009,5,6,4,4 15,15000000,0.9942,6.9
741,Youth in Revolt,2009,8,5,8,2 4 13,18000000,-0.9485,6.4
742,An American Carol,2008,4,5,4,2 9,20000000,-0.9795,4.1
743,Appaloosa,2008,5,7,5,1 3 4,20000000,-0.9892,6.7
744,Australia,2008,6,7,5,6 2 4,130000000,-0.9885,6.6
745,Babylon A.D.,2008,4,7,5,1 6 5,70000000,-0.9975,5.6
746,Baby Mama,2008,5,3,5,2 13,30000000,-0.5916,6
747,Bee Movie,2008,2,2,2,12 6 2,150000000,0.9992,6.1
748,Cadillac Records,2008,7,5,10,14 4 16,12000000,0.9994,7
749,Changeling,2008,4,7,5,14 3 4,55000000,-0.9964,7.7
750,Charlie Bartlett,2008,6,4,7,2 4 13,12000000,-0.945,7
751,Cloverfield,2008,4,6,5,1 6 10,25000000,-0.9515,7
752,Death Race,2008,4,8,8,1 5 8,45000000,-0.6527,6.4
753,Disaster Movie,2008,7,8,5,2,20000000,-0.9974,1.9
754,Drillbit Taylor,2008,4,6,4,1 2 3,40000000,-0.9959,5.7
755,Eagle Eye,2008,2,6,5,1 11 8,80000000,0,6.6
